ID,WijkenEnBuurten,Gemeentenaam_1,SoortRegio_2,Codering_3,IndelingswijzigingWijkenEnBuurten_4,AantalInwoners_5,Mannen_6,Vrouwen_7,k_0Tot15Jaar_8,k_15Tot25Jaar_9,k_25Tot45Jaar_10,k_45Tot65Jaar_11,k_65JaarOfOuder_12,Ongehuwd_13,Gehuwd_14,Gescheiden_15,Verweduwd_16,WestersTotaal_17,NietWestersTotaal_18,Marokko_19,NederlandseAntillenEnAruba_20,Suriname_21,Turkije_22,OverigNietWesters_23,GeboorteTotaal_24,GeboorteRelatief_25,SterfteTotaal_26,SterfteRelatief_27,HuishoudensTotaal_28,Eenpersoonshuishoudens_29,HuishoudensZonderKinderen_30,HuishoudensMetKinderen_31,GemiddeldeHuishoudensgrootte_32,Bevolkingsdichtheid_33,Woningvoorraad_34,GemiddeldeWoningwaarde_35,PercentageEengezinswoning_36,PercentageMeergezinswoning_37,PercentageBewoond_38,PercentageOnbewoond_39,Koopwoningen_40,HuurwoningenTotaal_41,InBezitWoningcorporatie_42,InBezitOverigeVerhuurders_43,EigendomOnbekend_44,BouwjaarVoor2000_45,BouwjaarVanaf2000_46,GemiddeldElektriciteitsverbruikTotaal_47,Appartement_48,Tussenwoning_49,Hoekwoning_50,TweeOnderEenKapWoning_51,VrijstaandeWoning_52,Huurwoning_53,EigenWoning_54,GemiddeldAardgasverbruikTotaal_55,Appartement_56,Tussenwoning_57,Hoekwoning_58,TweeOnderEenKapWoning_59,VrijstaandeWoning_60,Huurwoning_61,EigenWoning_62,PercentageWoningenMetStadsverwarming_63,AantalInkomensontvangers_64,GemiddeldInkomenPerInkomensontvanger_65,GemiddeldInkomenPerInwoner_66,k_40PersonenMetLaagsteInkomen_67,k_20PersonenMetHoogsteInkomen_68,Actieven1575Jaar_69,k_40HuishoudensMetLaagsteInkomen_70,k_20HuishoudensMetHoogsteInkomen_71,HuishoudensMetEenLaagInkomen_72,HuishOnderOfRondSociaalMinimum_73,PersonenPerSoortUitkeringBijstand_74,PersonenPerSoortUitkeringAO_75,PersonenPerSoortUitkeringWW_76,PersonenPerSoortUitkeringAOW_77,BedrijfsvestigingenTotaal_78,ALandbouwBosbouwEnVisserij_79,BFNijverheidEnEnergie_80,GIHandelEnHoreca_81,HJVervoerInformatieEnCommunicatie_82,KLFinancieleDienstenOnroerendGoed_83,MNZakelijkeDienstverlening_84,RUCultuurRecreatieOverigeDiensten_85,PersonenautoSTotaal_86,PersonenautoSJongerDan6Jaar_87,PersonenautoS6JaarEnOuder_88,PersonenautoSBrandstofBenzine_89,PersonenautoSOverigeBrandstof_90,PersonenautoSPerHuishouden_91,PersonenautoSNaarOppervlakte_92,Motorfietsen_93,AfstandTotHuisartsenpraktijk_94,AfstandTotGroteSupermarkt_95,AfstandTotKinderdagverblijf_96,AfstandTotSchool_97,ScholenBinnen3Km_98,OppervlakteTotaal_99,OppervlakteLand_100,OppervlakteWater_101,MeestVoorkomendePostcode_102,Dekkingspercentage_103,MateVanStedelijkheid_104,Omgevingsadressendichtheid_105,TotaalDiefstalUitWoningSchuurED_106,VernielingMisdrijfTegenOpenbareOrde_107,GeweldsEnSeksueleMisdrijven_108
12332,BU05990452,Rotterdam                               ,Buurt     ,BU05990452,1,65,30,30,5,5,15,35,10,20,35,5,5,5,0,0,0,0,0,0,0,30,0,15,30,10,15,10,2.1,28,25,       .,84,16,100,0,76,20,0,20,4,92,8,4280,       .,       .,       .,       .,4680,       .,4680,       .,       .,       .,       .,       .,       .,       .,       .,       .,100,       .,       .,       .,       .,       .,       .,       .,       .,       .,0,0,0,10,20,0,5,5,5,0,5,0,55,15,40,45,10,       .,       .,10,2.6,2.9,2.3,2.3,3.2,253,238,15,3047,3,5,94,0,0,15
12333,BU05990454,Rotterdam                               ,Buurt     ,BU05990454,1,340,170,170,60,30,75,105,75,155,160,15,15,15,15,0,0,5,0,5,0,8,10,34,145,45,55,50,2.3,82,137,356,100,0,90,10,76,19,0,19,5,91,9,4220,       .,3700,2900,3920,4810,4220,4100,1950,       .,1370,1870,2160,2030,2150,1860,       .,300,38.3,30.4,33.6,27.9,69.8,31.9,39,6.7,5.9,0,10,0,70,60,10,0,10,5,10,20,5,185,45,140,155,30,1.3,44,20,3.7,3.2,2.8,2.8,1.1,428,420,8,3046,1,5,57,23,3,3
12334,BU05990455,Rotterdam                               ,Buurt     ,BU05990455,1,2370,1195,1175,730,110,850,460,225,1300,870,115,90,225,380,40,30,110,65,130,95,40,40,17,780,135,180,470,2.9,415,724,333,92,8,96,4,80,19,11,8,1,36,64,3490,2780,2980,3430,4390,4640,2550,3740,1310,810,1080,1270,1640,1910,1150,1320,       .,1500,52.6,34.3,21.7,48.5,78.9,14.2,54.3,3.1,3.8,30,40,40,220,380,5,40,80,60,40,130,25,930,330,595,735,190,1.2,162,80,2,2,0.6,0,-1,591,572,19,3045,1,4,761,8,7,4
12335,BU05990456,Rotterdam                               ,Buurt     ,BU05990456,1,6745,3425,3320,1110,700,1830,2005,1100,3390,2560,535,270,720,1085,215,110,305,120,335,65,9,25,4,3185,1200,890,1105,2.1,4525,3188,178,44,56,94,6,61,38,24,15,1,96,4,2710,2150,3250,3380,3930,4140,2000,3110,1290,1050,1430,1650,1920,2840,1080,1410,       .,5400,31.7,25.3,38,21,61.3,39.8,19.2,9,8,260,230,140,1040,655,5,140,120,60,60,180,95,2965,805,2160,2580,385,0.9,1987,240,0.8,0.8,0.6,0.6,3.6,171,149,22,3043,1,2,1796,6,7,5
12336,BU05990457,Rotterdam                               ,Buurt     ,BU05990457,1,385,205,175,50,35,90,125,85,190,140,35,25,15,10,0,0,5,0,0,0,7,0,7,200,90,55,65,1.9,5211,198,83,100,0,100,0,33,67,66,1,0,100,0,2530,       .,2530,2520,       .,       .,2280,2990,940,       .,910,1050,       .,       .,870,1070,       .,300,22,18.2,53.5,5.3,48.9,66.5,6.4,14.8,11.7,30,30,10,80,10,       .,       .,       .,       .,       .,       .,       .,135,15,115,125,10,0.7,1809,15,1.3,1.3,1.2,0.9,3,7,7,0,3043,1,4,908,5,0,8
12337,WK059905  ,Rotterdam                               ,Wijk      ,WK059905  ,1,51800,25535,26265,7095,7510,20795,10965,5440,34480,11545,4395,1390,6815,19495,4910,1410,3605,4145,5415,710,13,295,5,29225,16290,6380,6565,1.8,10066,27139,141,3,97,94,6,33,65,38,27,1,98,2,2090,2050,2990,3120,2870,       .,1950,2310,900,880,1250,1190,1060,3510,860,970,8.7,41800,29.8,24.5,42.9,20.1,60.5,55.1,11.7,15,14.4,3410,1910,1150,5180,5300,10,445,965,520,285,1835,1245,14415,2885,11530,12345,2070,0.5,2801,980,0.4,0.4,0.3,0.4,35.2,535,515,21,         .,       .,1,6577,3,6,8
12338,BU05990515,Rotterdam                               ,Buurt     ,BU05990515,1,4090,2020,2065,530,675,1505,910,470,2700,875,430,95,490,2225,575,190,455,475,525,45,11,20,5,2325,1330,450,555,1.8,10635,2095,136,3,97,96,4,20,79,60,19,1,100,0,2120,2100,2610,       .,       .,       .,2040,2370,830,840,930,       .,       .,       .,910,600,12.1,3300,24.9,20.5,53.7,12.5,49.8,64.5,6.8,21.8,21.1,420,180,100,450,500,0,40,90,35,35,195,100,1015,175,835,845,170,0.4,2634,45,0.4,0.4,0.5,0.5,37.1,38,38,0,3032,1,1,8208,4,14,13
12339,BU05990516,Rotterdam                               ,Buurt     ,BU05990516,1,4650,2285,2360,585,760,1930,925,450,3235,970,345,105,675,1970,355,255,315,450,585,60,13,15,4,2700,1590,565,555,1.7,15761,2546,149,3,97,91,9,28,66,42,23,7,98,2,2150,2110,3360,       .,       .,       .,1990,2440,980,950,1870,       .,       .,       .,880,1170,5,3800,30.1,25,44.1,20.5,60.1,57.5,12.9,15.5,15,300,160,100,430,480,0,25,65,60,40,190,100,1165,220,945,995,165,0.4,3944,80,0.5,0.6,0.4,0.4,37.5,30,30,0,3033,1,1,7164,3,7,11
12340,BU05990531,Rotterdam                               ,Buurt     ,BU05990531,1,7885,3865,4015,745,1290,4090,1220,540,6020,1175,570,125,1220,2080,360,185,425,305,800,90,11,25,3,5065,3170,1180,725,1.5,17829,4792,119,0,100,94,6,35,64,21,44,1,99,1,1880,1850,       .,       .,       .,       .,1750,2000,950,940,       .,       .,       .,       .,940,940,       .,6900,30,26.3,37.8,19,68.5,56.7,8.5,12.5,10.9,400,250,220,520,910,0,85,125,80,30,305,280,2325,460,1865,2055,275,0.5,5261,175,0.5,0.4,0.2,0.4,36.1,45,44,1,3038,1,1,5891,3,3,5
12341,BU05990532,Rotterdam                               ,Buurt     ,BU05990532,1,10290,4970,5315,1275,1170,4475,2090,1280,6815,2315,790,370,1525,1440,115,130,295,125,770,175,17,85,8,5995,3255,1575,1170,1.7,6281,5586,165,1,99,95,5,57,43,8,35,0,100,0,2190,2170,3520,       .,       .,       .,2050,2290,1070,1060,1860,       .,       .,       .,990,1120,       .,8500,38.3,32.4,28.1,33.5,73.2,38.3,18.9,5.1,5.4,150,220,190,1210,1125,0,70,130,130,80,475,240,3395,815,2575,2980,410,0.6,2071,235,0.3,0.3,0.4,0.4,36.9,169,164,6,3039,1,1,5148,2,4,4
12342,BU05990534,Rotterdam                               ,Buurt     ,BU05990534,1,7620,3705,3910,1215,990,2745,1735,930,4865,1880,605,270,885,2640,710,150,555,575,650,120,15,60,8,4010,2070,880,1075,1.9,13755,3685,167,7,93,95,5,39,60,40,20,1,94,6,2220,2130,3230,3820,       .,       .,2000,2520,940,880,1660,1860,       .,       .,810,1110,10.2,6000,31.7,25.3,41.9,22.7,60.9,52.8,16.4,13.8,14.3,440,270,150,890,710,0,65,105,80,35,265,160,2230,435,1790,1900,330,0.6,4022,170,0.3,0.3,0.3,0.3,33.3,57,55,2,3037,1,1,6588,4,5,5
12343,BU05990535,Rotterdam                               ,Buurt     ,BU05990535,1,17140,8580,8560,2740,2610,5995,4040,1765,10770,4315,1630,430,2005,9080,2775,475,1545,2200,2075,210,12,80,4,9100,4880,1735,2495,1.9,16944,8434,125,5,95,94,6,20,79,60,20,1,96,4,2050,1980,2800,2530,       .,       .,1930,2350,750,740,890,380,790,       .,780,640,16.7,13400,24.7,19.5,52.4,12.7,51.3,63.2,7.4,21.6,20.7,1710,820,390,1670,1535,5,155,440,130,60,395,355,4245,760,3485,3535,710,0.5,4194,260,0.5,0.3,0.2,0.3,33.7,106,101,5,3036,6,1,7305,3,6,9
12344,BU05990558,Rotterdam                               ,Buurt     ,BU05990558,1,120,100,20,5,15,55,40,5,75,20,25,5,5,60,10,20,10,10,5,0,8,0,0,20,5,10,10,2.1,149,1,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,0,       .,       .,       .,       .,       .,       .,       .,       .,       .,0,10,0,0,35,0,5,15,0,0,5,5,45,15,30,35,10,       .,       .,10,1.1,1.2,0.9,1.3,29.3,89,82,7,3041,1,2,2103,0,49,205
12345,WK059906  ,Rotterdam                               ,Wijk      ,WK059906  ,1,43895,20880,23010,8765,4410,10915,11660,8150,22910,14810,3775,2400,5170,7690,1585,780,1560,890,2870,505,11,585,13,20240,8420,4765,7065,2.1,3757,20676,251,41,59,94,6,51,48,31,17,2,86,14,2750,2080,3370,3630,4270,5590,2110,3270,1300,980,1440,1810,2040,3410,1020,1530,       .,32400,43,32.5,36.1,30.7,59.9,40.9,27.6,9.7,9.8,1610,1280,750,7760,4215,20,395,710,330,665,1540,555,17330,5100,12230,14865,2465,0.9,1483,945,0.6,0.7,0.4,0.5,15.7,1328,1168,159,         .,       .,2,2300,5,5,5
12346,BU05990660,Rotterdam                               ,Buurt     ,BU05990660,1,16430,7680,8750,3405,1690,4310,4115,2910,8965,4925,1630,920,1555,4640,1185,525,825,575,1525,230,14,240,14,7830,3585,1515,2735,2.1,3392,8074,170,33,67,94,6,37,61,52,9,2,92,8,2340,1880,3060,3220,3640,4650,1890,3000,1150,930,1410,1720,1670,2410,1000,1360,       .,12100,32.6,24.5,42.4,22.1,55.5,53.2,18.2,15,14.8,1130,650,310,2760,1055,10,145,210,100,100,335,155,5470,1420,4045,4745,725,0.7,1129,290,0.6,0.5,0.3,0.4,13,493,484,8,3053,4,1,2519,7,7,8
12347,BU05990661,Rotterdam                               ,Buurt     ,BU05990661,1,8050,3975,4070,1500,885,2710,2035,925,4840,2470,565,185,1055,835,70,80,195,95,400,105,13,30,3,3900,1650,1025,1230,2.1,6739,3807,206,26,74,93,7,64,34,2,32,1,95,5,2560,2230,3460,3560,3590,4420,2130,2730,1310,1130,1710,2110,1860,2290,1160,1370,       .,6200,40.6,31.5,30,32.9,70.2,33.7,25.8,4.8,4.5,110,170,150,850,1110,5,110,180,105,125,390,195,3150,820,2330,2725,430,0.8,2637,235,0.3,0.6,0.3,0.4,28.5,127,119,8,3051,1,1,3101,2,6,3
12348,BU05990662,Rotterdam                               ,Buurt     ,BU05990662,1,7835,3620,4210,1220,735,1590,2170,2120,3545,2875,780,640,990,1170,235,100,275,130,425,70,9,160,20,3875,1760,1040,1080,2,4262,4051,315,30,70,93,7,47,51,35,16,2,72,28,2790,2240,3520,3710,4780,6280,2060,3460,1220,930,1420,1840,2520,3440,910,1580,       .,6000,47.6,37.8,37.7,30.1,54.5,42.7,26.8,10.6,10.5,270,260,120,2060,845,0,55,170,50,175,305,90,3485,1135,2350,2975,510,0.9,1896,135,0.6,0.6,0.4,0.7,15.1,306,184,122,3054,1,2,2073,4,4,6
12349,BU05990664,Rotterdam                               ,Buurt     ,BU05990664,1,3525,1735,1790,755,440,760,1205,360,1840,1385,240,65,400,535,65,25,195,60,190,35,10,10,3,1340,275,355,715,2.6,1979,1308,300,89,11,97,3,57,42,19,23,1,33,67,3690,2350,3530,3830,4710,4570,3390,3830,1000,450,680,950,1790,2510,760,1060,22.7,2600,45.5,33.5,34.1,36.4,63.9,23,42.2,5.7,5.3,60,90,60,340,335,0,45,35,30,55,125,45,1540,540,1000,1305,235,1.1,863,130,0.8,1.9,0.6,0,-1,188,178,10,3056,1,4,879,5,3,5
12350,BU05990665,Rotterdam                               ,Buurt     ,BU05990665,1,8045,3860,4185,1885,655,1540,2130,1835,3725,3165,565,595,1170,505,25,50,75,25,325,55,7,135,16,3295,1155,835,1310,2.4,3978,3436,392,69,31,94,6,70,30,11,19,0,98,2,3500,2260,3600,4170,4270,5980,2490,3850,1830,1070,1760,2210,2270,3970,1310,2030,       .,5600,62,44.5,28.5,44.7,61.2,25.1,47,3.6,4.9,40,120,100,1750,865,0,40,110,45,205,390,70,3685,1185,2500,3120,565,1.1,1821,155,0.8,0.6,0.6,0.4,11.2,214,202,11,3055,1,2,1697,5,3,2
12351,WK059908  ,Rotterdam                               ,Wijk      ,WK059908  ,1,53700,26100,27600,7290,10605,17265,11235,7315,34500,12480,4805,1925,8560,20005,5270,1165,3600,3155,6810,625,11,440,8,30300,17560,6350,6395,1.7,5136,27493,181,7,93,95,5,26,72,47,25,2,93,7,2210,2030,3600,3890,5350,5830,2000,2600,770,680,1420,1690,3270,3850,700,940,24,40400,32.8,26.5,47.7,20.1,51.9,59.3,12.8,16.5,16.4,3770,1910,910,6960,4435,10,375,835,395,500,1590,730,15755,4415,11340,13190,2565,0.5,1507,690,0.5,0.4,0.3,0.5,24.6,1277,1046,231,         .,       .,1,5247,4,6,7
12352,BU05990814,Rotterdam                               ,Buurt     ,BU05990814,1,8375,3960,4415,1065,1420,3000,1680,1210,5395,1790,820,375,1190,3460,980,185,665,500,1125,90,11,110,13,4765,2710,1035,1030,1.7,15728,4580,132,0,100,96,4,20,76,49,27,4,93,7,2040,2040,       .,       .,       .,       .,2060,1970,650,650,       .,       .,       .,       .,670,590,30,6600,26.6,21.9,48.4,15.4,53.6,62.1,7.7,16.1,16.8,690,360,170,1140,510,0,50,135,45,30,150,100,2035,445,1590,1790,245,0.4,3826,105,0.4,0.3,0.3,0.4,35.2,54,53,1,3031,1,1,7713,5,5,6
12353,BU05990836,Rotterdam                               ,Buurt     ,BU05990836,1,3020,1580,1440,560,355,1250,585,275,1930,755,275,65,330,1295,520,50,215,195,310,55,19,20,6,1580,775,360,445,1.9,2929,1604,140,5,95,91,9,11,88,77,10,2,70,30,2160,2060,2940,3300,       .,       .,2030,2710,540,520,1460,       .,       .,       .,540,430,26.7,2300,28.3,22,47.7,17.2,57.9,62.7,13.3,21.7,20.4,290,120,50,260,325,5,40,75,30,20,90,70,890,225,665,730,160,0.6,862,55,0.3,0.4,0.2,0.3,28.2,110,103,7,3034,1,1,4811,3,6,8
12354,BU05990837,Rotterdam                               ,Buurt     ,BU05990837,1,8165,3905,4260,1440,1205,2385,2000,1140,4720,2095,975,385,755,4830,1690,260,745,1085,1040,120,15,85,10,4110,2115,710,1295,2,16721,4067,126,4,96,96,4,8,88,80,8,4,96,4,2070,2030,2960,2560,       .,       .,2040,2330,900,890,990,1000,       .,       .,920,890,       .,6100,21.2,16.3,59.9,7.7,41.2,70.9,4.5,28.2,27.4,1080,510,140,1080,380,5,55,75,45,10,110,85,1965,320,1645,1615,350,0.5,4024,80,0.4,0.4,0.2,0.3,32.4,53,49,4,3034,1,1,6457,5,8,8
12355,BU05990841,Rotterdam                               ,Buurt     ,BU05990841,1,15785,7640,8145,2235,3070,5245,3325,1910,10420,3465,1430,480,2200,6235,1675,300,1285,1035,1930,205,13,95,6,8950,5210,1790,1955,1.7,15436,7995,157,6,94,95,5,29,70,47,22,1,94,6,2070,1940,3290,3110,       .,       .,1880,2300,920,900,1310,1250,       .,       .,920,950,       .,12300,29.4,23.8,48.1,19.3,53,59.9,11.9,16.3,16.1,1190,560,310,1810,1190,0,110,245,105,105,415,210,4365,995,3370,3765,600,0.5,4268,180,0.5,0.3,0.3,0.5,24.4,102,102,0,3061,1,1,5654,3,6,8
12356,BU05990842,Rotterdam                               ,Buurt     ,BU05990842,1,8045,3920,4125,1285,1870,2025,1665,1205,5110,2245,420,275,1695,1135,80,85,150,60,755,60,7,60,7,4370,2510,940,930,1.8,3974,3522,413,34,66,93,7,50,48,14,33,2,95,5,3150,2340,4090,4470,5520,6150,2290,3770,1520,1120,1690,2080,3420,3900,960,1970,11.2,5500,64.4,49,37,39.4,56.2,42.9,34.1,7,6.6,100,90,80,1160,1165,0,70,135,80,225,540,115,2950,1025,1930,2400,550,0.7,1457,110,0.6,0.5,0.4,0.5,17.8,205,203,3,3062,1,1,3257,3,4,4
12357,BU05990843,Rotterdam                               ,Buurt     ,BU05990843,1,105,50,50,15,15,20,40,15,60,35,5,5,5,0,0,0,0,0,0,0,0,0,9,45,20,10,25,2.2,32,25,       .,84,16,84,16,52,48,0,48,0,100,0,3300,       .,       .,       .,3980,       .,2520,4100,2200,       .,       .,       .,2030,       .,1800,2550,       .,100,       .,       .,       .,       .,       .,       .,       .,       .,       .,10,0,0,20,85,0,5,30,0,10,5,35,65,20,45,45,20,       .,       .,10,1.3,1.6,0.9,0,-1,447,328,119,3062,1,2,1571,38,217,302
12358,BU05990845,Rotterdam                               ,Buurt     ,BU05990845,1,4445,2150,2295,445,660,1425,1115,810,2630,1110,545,170,565,1675,185,185,390,200,710,45,11,30,7,2715,1565,675,480,1.6,2632,2576,143,3,97,97,3,20,80,51,29,0,100,0,2020,1960,3090,3050,       .,4100,1930,2230,40,       .,710,820,       .,       .,       .,100,95.2,3700,28.7,24.5,44.6,19.2,53,57,8,15,15.3,320,170,80,770,305,0,25,55,45,30,95,55,1675,575,1095,1405,265,0.6,990,70,0.7,0.7,0.6,0.6,7.3,243,169,74,3063,1,2,1816,4,7,6
12359,BU05990847,Rotterdam                               ,Buurt     ,BU05990847,1,5745,2880,2860,245,2010,1915,830,745,4245,995,340,170,1815,1370,130,90,150,75,925,30,5,30,5,3760,2665,845,255,1.4,14824,3124,170,0,100,89,11,32,63,17,47,4,94,6,2140,2140,       .,       .,       .,       .,1980,2300,290,280,       .,       .,       .,       .,360,210,62.7,3700,33.8,29.8,44.2,25.6,51.9,58.3,12.1,8.7,8.5,110,100,70,720,475,0,25,85,45,70,185,60,1810,810,1000,1430,375,0.5,4667,80,1,0.7,0.4,0.8,20.3,62,39,23,3063,1,1,4714,2,3,4
12360,WK059910  ,Rotterdam                               ,Wijk      ,WK059910  ,1,74040,36695,37345,13385,10145,22550,18630,9335,41740,21570,8080,2660,7875,42880,8330,3725,7310,13395,10120,1050,14,510,6,35830,16445,7325,12065,2.1,11152,34579,128,24,76,94,6,21,79,64,15,1,85,15,2260,2130,2540,2550,2840,3280,2110,2690,830,770,980,1190,1500,1780,890,720,12.9,55300,25.1,19.2,53.8,12.5,47.9,61.9,9.1,21.7,21,7670,3640,1710,8810,4720,45,685,1090,545,280,1355,720,20595,4315,16280,16790,3810,0.6,3102,900,0.5,0.4,0.3,0.4,31.6,855,664,191,         .,       .,1,4669,7,7,10
12361,BU05991017,Rotterdam                               ,Buurt     ,BU05991017,1,2390,1260,1130,185,350,1345,395,115,1745,510,125,15,425,895,50,160,105,110,470,35,15,0,1,1565,965,425,180,1.5,8921,1644,254,0,100,84,16,25,74,40,34,0,11,89,2480,2480,       .,       .,       .,       .,2220,2880,       .,       .,       .,       .,       .,       .,       .,       .,68.6,1900,53.9,46.4,28.2,40.5,72.5,45,25.8,5,3.8,30,20,50,110,515,0,20,80,90,70,210,50,1210,590,620,765,440,0.8,4505,65,0.9,0.8,0.8,0.7,28,64,27,37,3072,2,1,3918,4,5,15
12362,BU05991079,Rotterdam                               ,Buurt     ,BU05991079,3,8475,4195,4280,1620,890,2760,2210,995,4755,2550,925,250,1140,4450,1090,335,865,910,1245,120,14,25,3,4120,1785,970,1370,2.1,11547,3936,177,8,92,96,4,29,71,53,17,0,72,28,2340,2250,3310,3470,       .,       .,2180,2730,440,480,80,40,       .,       .,530,240,51,6400,34.9,26.7,41.7,25.8,56.8,46.5,18.2,15.8,15.6,620,320,180,950,660,0,50,125,80,55,270,80,2380,625,1755,1920,460,0.6,3245,110,0.3,0.3,0.3,0.3,27.6,82,73,9,3071,1,1,4485,4,3,7
12363,BU05991080,Rotterdam                               ,Buurt     ,BU05991080,1,13885,6600,7285,2060,1615,3275,4125,2810,7050,4115,1870,860,1390,4670,810,695,1130,745,1290,170,12,185,13,7110,3305,1645,2170,1.9,6774,7030,126,68,32,96,4,13,86,81,5,0,96,4,2320,2060,2380,2470,2870,3550,2220,2930,1040,790,1060,1270,1520,2090,1050,1020,       .,10900,23.1,18.6,53.7,9,44.5,66.4,6.1,20.3,19.9,1520,800,330,2640,580,5,120,110,70,30,150,95,4405,1005,3405,3850,560,0.6,2149,260,0.6,0.6,0.5,0.4,37.2,207,205,2,3075,1,1,4046,10,8,12
12364,BU05991081,Rotterdam                               ,Buurt     ,BU05991081,1,13735,6985,6750,2605,2125,4300,3315,1395,7915,4025,1385,415,1705,8850,1530,765,1425,3375,1745,215,15,65,5,6405,2845,1230,2335,2.1,17423,6238,97,34,66,94,6,21,78,57,21,1,96,4,2190,2070,2440,2470,2470,2970,2090,2620,1040,990,1110,1220,1270,1460,1020,1130,       .,9900,20.8,15.5,58.8,7.2,45.6,67.2,5.1,24.2,22,1500,730,340,1310,730,15,170,220,75,15,120,120,3445,495,2945,2850,595,0.5,4368,120,0.4,0.3,0.2,0.3,37.6,79,79,0,3073,1,1,6218,9,9,11
12365,BU05991082,Rotterdam                               ,Buurt     ,BU05991082,3,11985,6065,5920,2460,1905,3990,2620,1015,6870,3625,1205,295,1265,8720,1725,585,1270,3485,1650,185,15,55,4,5405,2355,1005,2050,2.2,13359,5157,96,8,92,93,7,27,71,46,25,1,90,10,2210,2090,3130,3520,       .,       .,2020,2530,940,940,1040,1620,       .,       .,940,960,       .,8600,21.5,15.7,56.8,7.8,48.5,62.9,6.1,22.9,21.5,1140,590,330,970,740,10,145,260,65,20,135,105,3105,475,2635,2435,670,0.6,3463,100,0.3,0.3,0.2,0.3,34.2,90,90,1,3074,1,1,4740,7,8,11
12366,BU05991085,Rotterdam                               ,Buurt     ,BU05991085,1,4760,2340,2420,1010,460,1455,1240,595,2705,1405,490,170,455,2155,385,265,445,175,880,60,13,30,6,2275,990,495,795,2.1,8621,2049,171,14,86,96,4,37,63,55,8,0,68,32,2390,2190,3320,2950,       .,       .,2060,2840,650,730,250,240,       .,       .,800,440,18,3500,30.7,23,45.4,22.3,56.5,52.7,16.8,17.4,18.8,400,170,90,560,370,0,30,70,35,20,140,65,1385,355,1030,1160,225,0.6,2505,80,0.4,0.4,0.3,0.4,22.5,118,55,63,3072,1,1,3019,6,5,4
12367,BU05991086,Rotterdam                               ,Buurt     ,BU05991086,1,8020,3960,4060,1450,1310,2165,2060,1035,4365,2455,905,305,505,6450,1225,405,1015,2500,1300,90,11,55,6,3620,1645,595,1390,2.2,17027,3445,100,4,96,94,6,10,89,83,6,0,88,12,2380,2150,3660,3650,       .,       .,2090,3170,660,780,230,450,       .,       .,890,230,13.1,5900,19.1,14.3,65,5.6,37.2,70.5,5.9,29.6,30.7,1120,470,160,990,385,5,65,120,40,15,65,70,1790,230,1565,1425,365,0.5,3803,35,0.4,0.4,0.3,0.3,31.6,47,47,0,3072,1,1,5334,6,7,10
12368,BU05991087,Rotterdam                               ,Buurt     ,BU05991087,1,7505,3670,3830,1620,1110,2140,1760,875,4355,2095,850,210,515,5725,1355,430,850,1875,1215,125,17,50,6,3390,1500,510,1390,2.2,11889,3213,102,4,96,97,3,9,91,85,5,1,93,7,2090,2080,2440,2330,       .,       .,2040,2510,930,920,1010,       .,       .,       .,930,850,       .,5400,20.3,14.8,63.1,6.9,39.2,69,5.8,30.4,28,1090,430,160,830,260,0,45,45,30,10,75,45,1650,225,1425,1350,300,0.5,2615,50,0.7,0.5,0.3,0.4,23.1,100,63,37,3071,1,1,3944,5,7,7
12369,BU05991088,Rotterdam                               ,Buurt     ,BU05991088,1,3270,1610,1660,370,375,1120,905,500,1990,795,345,150,470,960,150,75,195,215,325,35,10,25,7,1930,1075,455,410,1.7,13270,1867,163,1,99,95,5,30,69,46,23,1,89,11,2040,2030,2880,       .,       .,       .,1960,2180,870,860,1910,       .,       .,       .,870,870,       .,2700,32.4,27.3,42.1,22.7,58.4,53.5,12.7,14.8,16,250,120,80,480,480,0,35,60,55,50,190,90,1220,320,900,1035,185,0.6,4957,80,0.8,0.3,0.4,1.4,18,67,25,42,3071,1,1,4535,5,10,7
12370,WK059912  ,Rotterdam                               ,Wijk      ,WK059912  ,1,60065,28975,31085,10570,6960,16465,15350,10720,30630,19295,6460,3685,5955,23570,2680,3820,6245,3920,6900,740,12,720,12,28655,12455,6520,9685,2,5082,28902,127,36,64,95,5,37,62,47,15,1,91,9,2520,2100,3040,3160,3440,4350,2180,2960,960,820,1100,1360,1560,2310,920,1040,7.5,45500,26.5,20.7,45.4,13.7,54.7,53.2,9.9,14,13.5,4210,2730,1340,10220,3055,30,745,725,370,190,605,390,21130,5795,15335,18270,2860,0.7,1788,1330,0.6,0.7,0.4,0.5,17.7,1309,1182,127,         .,       .,1,2564,6,6,8
12371,BU05991283,Rotterdam                               ,Buurt     ,BU05991283,1,5880,3030,2850,855,605,1675,1940,810,2780,2500,440,160,620,1585,135,195,515,210,525,55,10,25,4,2770,995,900,885,2.1,2998,2749,175,42,58,93,7,68,32,13,18,1,76,24,2770,2260,3390,3310,3670,4250,2150,3050,800,440,1130,1340,1460,2250,670,850,29.1,4700,35,28.5,31.8,26.3,65.4,30,22.9,5.7,5.3,150,180,130,770,640,0,125,155,85,50,160,65,2785,990,1795,2325,460,1,1420,235,1.7,1.5,0.9,0.9,16.3,315,196,119,3077,1,2,1682,4,9,9
