year,month,type,link
2017,10,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2017-10.csv
2017,10,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2017-10.csv
2017,10,fhv,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2017-10.csv
2017,11,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2017-11.csv
2017,11,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2017-11.csv
2017,11,fhv,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2017-11.csv
2017,12,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2017-12.csv
2017,12,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2017-12.csv
2017,12,fhv,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2017-12.csv
2016,1,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2016-01.csv
2016,1,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2016-01.csv
2016,1,fhv,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2016-01.csv
2016,2,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2016-02.csv
2016,2,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2016-02.csv
2016,2,fhv,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2016-02.csv
2016,3,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2016-03.csv
2016,3,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2016-03.csv
2016,3,fhv,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2016-03.csv
2016,4,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2016-04.csv
2016,4,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2016-04.csv
2016,4,fhv,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2016-04.csv
2016,5,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2016-05.csv
2016,5,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2016-05.csv
2016,5,fhv,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2016-05.csv
2016,6,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2016-06.csv
2016,6,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2016-06.csv
2016,6,fhv,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2016-06.csv
2016,7,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2016-07.csv
2016,7,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2016-07.csv
2016,7,fhv,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2016-07.csv
2016,8,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2016-08.csv
2016,8,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2016-08.csv
2016,8,fhv,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2016-08.csv
2016,9,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2016-09.csv
2016,9,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2016-09.csv
