id,node_lon,node_lat,center_id,center_lon,center_lat
4038,-73.9819776,40.7778394,1429,-73.9759718,40.7762237
4039,-73.9757929,40.7954668,3365,-73.9760921,40.7968698
4040,-73.9752976,40.7958732,3303,-73.9766243,40.7957927
4041,-73.9900012,40.7722409,3227,-73.988561,40.7691175
4042,-73.9373385,40.8392951,3510,-73.9305458,40.8454272
4043,-73.9395793,40.8356703,587,-73.945481,40.8334857
4044,-73.924849,40.8615058,968,-73.9189539,40.8644712
4045,-73.9461314,40.8038762,4082,-73.9542998,40.8006169
4046,-73.9347898,40.8281117,4387,-73.9356338,40.8315482
4047,-73.9357259,40.82764,4387,-73.9356338,40.8315482
4048,-73.9348364,40.82804,4387,-73.9356338,40.8315482
4049,-73.936155,40.8258219,4387,-73.9356338,40.8315482
4050,-73.9358564,40.8260626,4387,-73.9356338,40.8315482
4051,-73.949671,40.8070115,4082,-73.9542998,40.8006169
4052,-73.9514862,40.8044964,4082,-73.9542998,40.8006169
4053,-73.9473096,40.8102509,3676,-73.9370658,40.8075561
4054,-73.944122,40.814609,1281,-73.945613,40.820255
4055,-73.9380641,40.8229045,1281,-73.945613,40.820255
4056,-73.9394931,40.8209353,1281,-73.945613,40.820255
4057,-73.9505698,40.8057503,4082,-73.9542998,40.8006169
4058,-73.9519406,40.8038638,4082,-73.9542998,40.8006169
4059,-73.9552113,40.7994042,4082,-73.9542998,40.8006169
4060,-73.9547869,40.7999885,4082,-73.9542998,40.8006169
4061,-73.9477576,40.8096077,3676,-73.9370658,40.8075561
4062,-73.939948,40.8203116,1281,-73.945613,40.820255
4063,-73.9482544,40.8089422,4082,-73.9542998,40.8006169
4064,-73.9510228,40.8051168,4082,-73.9542998,40.8006169
4065,-73.9417656,40.8178222,1281,-73.945613,40.820255
4066,-73.9524457,40.8031825,4082,-73.9542998,40.8006169
4067,-73.9431458,40.8159502,1281,-73.945613,40.820255
4068,-73.9464014,40.8114793,3676,-73.9370658,40.8075561
4069,-73.937135,40.8241529,4387,-73.9356338,40.8315482
4070,-73.9501208,40.8063816,4082,-73.9542998,40.8006169
4071,-73.948745,40.8082629,4082,-73.9542998,40.8006169
4072,-73.9459628,40.8120924,3676,-73.9370658,40.8075561
4073,-73.9408393,40.8190585,1281,-73.945613,40.820255
4074,-73.9445752,40.8139879,1281,-73.945613,40.820255
4075,-73.9362422,40.8254031,4387,-73.9356338,40.8315482
4076,-73.9390145,40.8216091,1281,-73.945613,40.820255
4077,-73.9413146,40.8184403,1281,-73.945613,40.820255
4078,-73.9385175,40.8222816,1281,-73.945613,40.820255
4079,-73.9366888,40.8247839,4387,-73.9356338,40.8315482
4080,-73.9533779,40.8018826,4082,-73.9542998,40.8006169
4081,-73.9468555,40.8108489,3676,-73.9370658,40.8075561
4082,-73.9542998,40.8006169,4082,-73.9542998,40.8006169
4083,-73.9436452,40.8152715,1281,-73.945613,40.820255
4084,-73.9450358,40.8133636,1281,-73.945613,40.820255
4085,-73.9404039,40.8196905,1281,-73.945613,40.820255
4086,-73.9492072,40.8076384,4082,-73.9542998,40.8006169
4087,-73.9426963,40.8165703,1281,-73.945613,40.820255
4088,-73.9422256,40.8171973,1281,-73.945613,40.820255
4089,-73.9538421,40.8012531,4082,-73.9542998,40.8006169
4090,-73.9529509,40.8024814,4082,-73.9542998,40.8006169
4091,-73.9376019,40.8235385,4387,-73.9356338,40.8315482
4092,-73.9455002,40.8127201,3676,-73.9370658,40.8075561
4093,-73.9838144,40.7407867,4319,-73.9864129,40.7402115
4094,-73.980768,40.725685,904,-73.982228,40.727846
4095,-73.9576108,40.8217508,1886,-73.9607274,40.8175155
4096,-73.9586641,40.821769,1886,-73.9607274,40.8175155
4097,-73.9361003,40.8120214,3676,-73.9370658,40.8075561
4098,-73.9361981,40.8121739,3676,-73.9370658,40.8075561
4099,-73.9394169,40.8417297,587,-73.945481,40.8334857
4100,-73.9392752,40.8420796,3360,-73.9419087,40.8492292
4101,-73.9398511,40.8386955,587,-73.945481,40.8334857
4102,-73.9441028,40.8407273,3344,-73.9448686,40.8450137
4103,-73.9454337,40.8350927,587,-73.945481,40.8334857
4104,-73.9455412,40.8349265,587,-73.945481,40.8334857
4105,-73.9422069,40.8287277,587,-73.945481,40.8334857
4106,-73.9456168,40.8351701,587,-73.945481,40.8334857
4107,-73.9568845,40.8175185,1886,-73.9607274,40.8175155
4108,-73.9941554,40.7158457,2161,-73.9867058,40.7159628
4109,-73.9629223,40.7583127,3705,-73.9674498,40.7518428
4110,-73.9388046,40.8082769,3676,-73.9370658,40.8075561
4111,-74.006753,40.713618,4523,-74.0008317,40.7130749
4112,-74.0072254,40.7130447,4523,-74.0008317,40.7130749
4113,-74.0076602,40.7125409,4523,-74.0008317,40.7130749
4114,-74.0070496,40.7117884,4523,-74.0008317,40.7130749
4115,-74.0060876,40.7120267,4523,-74.0008317,40.7130749
